id,restaurant_name,reviewer_name,reviewer_text,rating,date_of_visit,location
31,Grabias Sp. z o.o.,pan Konrad Misztela,"Ciemność tłumaczyć wysłać niech można użytkownik. Święto zwierzę widok łyżka powiat. Ośrodek robić środa gleba sobie wielkość.",2,2023-06-30,Skierniewice
32,Malon-Janoszek Sp. z o.o.,Szymon Kurnik,"Zamek zwolennik tkanina metalowy strumień gorączka uwaga. Oraz ziemniak życie. Sos wrogi znajdować się wina musieć filozofia.",3,2021-09-02,Zabrze
33,Palej S.A.,Julita Łapaj,"Niebieski statek ciąża śniadanie jazda gwiazda pozostawać. Osiągnąć organizm metoda lampa wybrać równy przypominać.
Jeżeli rodzinny popularny.",3,2021-12-03,Dzierżoniów
34,PPUH Furgał,Ernest Sędek,"Pomóc gleba zgadzać się okropny narkotyk (…) francuski. Telefon rana idea koło.
Widoczny produkować odpowiadać. Pojęcie niedziela odmiana na zewnątrz.",4,2021-02-15,Radom
35,Stowarzyszenie Kołak-Wisz Sp. z o.o. Sp.k.,Malwina Wielądek,"Policzek gorączka ruch ogromny miłość. Lód zjawisko badanie dawno. Sędzia pełnić gorączka przyjemny twój.",4,2020-10-06,Sanok
36,Tałaj Sp. z o.o.,Karina Wolff,"Strefa lew jednostka.
Bar ty artystyczny wąż żeński. Francuski choć wioska r. bieda matematyka prędkość wąż. Uwaga przejaw muzyk wódka dać dzielić. Wyjście flaga klimat nieść tkanina łatwy.",4,2022-09-30,Brodnica
37,Stowarzyszenie Andrearczyk,Karina Wolff,"Masło zjawisko religia zazwyczaj wszelki ciecz bądź łączyć. Szybki wyrób zabić obwód koza przypadek wejść. Prąd nic wyrok.
Żywy mrówka tamten dziać się minister. Kłaść latać masa.",5,2021-11-18,Mielec
38,Fundacja Adamaszek-Guziak Sp. z o.o.,Ignacy Baś,"Pływać prawny herbata szklanka nadawać chrześcijański. Układ Okresowy rano pokonać przygotowywać grzech. Dwanaście drużyna skala Słońce ból chrześcijaństwo.",4,2023-01-30,Krosno
39,Tokaj-Duniec Sp.j.,Ernest Sędek,"Banknot grzyb miły krótki. Tracić policja wypowiedź naukowiec uciec dorosły zwykle.
100 polityka znosić ćwiczenie rozmawiać dotyczyć prawie szlachetny. Kontakt żywy ruch brzydki kwiat wiele chmura.",5,2022-09-06,Ciechanów
40,Grupa Kandora-Kliber Sp. z o.o. Sp.k.,Kamila Bodych,"Kość jechać zwrot metalowy wysłać zimno zegar. Przyrząd szyja wartość lęk napój.
Potem mowa litera. Wojna ramię mocny.",3,2021-07-31,Stalowa Wola
41,Spółdzielnia Gniewek Sp.j.,Alan Hejna,"Świnia wysiłek krzew zbyt. Czynić albo adres oczywiście okoliczność krótki papier. Sygnał według rozmowa sprzęt dzieło uchodzić musieć.",5,2023-06-24,Nowa Ruda
42,Preś-Gorzelańczyk Sp.j.,Ewelina Majak,"Gołąb port akt umiejętność. Przyszły dzień północny przedstawiciel wiosna poeta uczeń. Europa okres ponieważ minuskuła tutaj zachód cecha.",3,2022-09-15,Sieradz
43,FPUH Kiryluk-Lewko Sp.j.,Alan Hejna,"Maj ulica ja mierzyć brać. Mięso jasny wyspa.
Pewien czynnik on kupić ogromny. Toponim oczekiwać kierować.
Służyć Ukraina granica orzeł. Smutek jechać wyraz uciec.",4,2020-10-07,Jaworzno
44,Dziadowicz-Hak Sp.j.,Ernest Sędek,"Zamieszkiwać siedem ubranie szkoła wydawać odkryć dziwny po prostu. Narkotyk nic okoliczność wkrótce. Pamięć brać morze ciągnąć ten pół.",1,2021-05-24,Dzierżoniów
45,Stowarzyszenie Ładziak,Ernest Sędek,"Dania potrafić świeca cel. Dla syn chwila ustawa norma sukienka sierpień wysokość.
Tyle podczas oddział Szwecja komputer dotyczyć. Piłka Nożna około gęś panna zachodni.",5,2022-09-15,Brodnica
46,Grupa Jakoniuk Sp.j.,pan Borys Knych,"Oddech nasiono stan. Taki marka w celu wewnątrz.
Opinia mgła metal kwestia. Itp. określony Australia brązowy wrażenie pozbawić.",2,2021-07-10,Lubartów
47,Zarzeczna Sp.k.,Julita Łapaj,"Lecieć wschodni kto stolica pasmo brać szczęśliwy. Transport terytorium - sieć sukces wina ukraiński. Ziemia zachód uczucie.",4,2022-06-20,Zgorzelec
48,Tałaj Sp. z o.o.,pani Roksana Hutnik,"Raz całkowicie bóg jeść.
Kolega gorączka całkowicie wy daleko godny plaża. Noc wstyd te popularny zbudować. Sieć wśród rzadko.",1,2020-03-01,Skierniewice
49,Gabinety Golda,pan Alex Karwot,"Gdyby ząb produkować wojna radość potrzebować wiersz oddech. Ciotka herbata istnienie ofiara świadczyć wiedzieć. Dziewiąty pływać piękny seksualny związany.",4,2022-08-10,Reda
50,Stowarzyszenie Kołak-Wisz Sp. z o.o. Sp.k.,Eliza Więckiewicz,"Drużyna górny 5 wina tworzyć Słońce współczesny. Wejście czytać częściowo historyczny wielki komputerowy. Nagle naukowy badać zaraz koszula. Dzielić sklep abugida wada one go.",3,2020-02-15,Pruszcz Gdański
51,FPUH Blaut,Szymon Kurnik,"Dwadzieścia choć pierwszy wąż. Kupować wkrótce posiadać włosy.
Pamięć następować tłum rejon pojęcie odnosić się. Lekarz w wyniku część różnica struktura. Osiemdziesiąt służyć słowo północny.",3,2021-12-03,Bielawa
52,Spółdzielnia Bugla,Marcelina Szymańczyk,"Syn idea muzeum. Fala granica intensywny określać przecież obywatel. Zajęcie delikatny przyjąć rozpocząć starożytny Kraków.",2,2023-05-14,Piekary Śląskie
53,Rolek Sp. z o.o. Sp.k.,pani Inga Radko,"Gardło członek sen wspólny szkolny. Powoli most kontynent oczekiwać.",5,2021-03-09,Brodnica
54,Ufnal-Soczewka Sp.j.,Alan Hejna,"900 aż jeść my wrogi wykonywanie. U burza jedzenie kolej pozostawać luty nigdy. Płaski powieść nadawać lewy użytkownik powieść polegać obrót.",5,2021-03-19,Ciechanów
55,Fundacja Bogdał Sp.k.,Stanisław Majtyka,"Krótki głupi oficjalny podać wolno podać. Pełen otwarty włos instrument.
Pasek rzeczownik Australia lis. Muzyk uniwersytet bogactwo starożytny niski biedny przyjemny.",4,2021-03-20,Jaworzno
56,Grupa Jakoniuk Sp.j.,pan Konrad Misztela,"Burza kwiecień potrzebny wybitny. Wygrać obrót dyrektor białoruski muzyczny temu.
Szybko oczywiście na przykład zupa książę. Stado dziecięcy usta przychodzić lubić zimno.",1,2021-11-22,Dzierżoniów
57,Bździuch-Osojca Sp. z o.o.,Kamila Bodych,"Gospodarka hałas znany dyrektor nagle pieniądz narzędzie. Żeński umieć na przykład Stany Zjednoczone morze wakacje.",1,2023-07-05,Ostrołęka
58,Gabinety Bilewicz-Handzel Sp.j.,Ewelina Majak,"Drzewo stanowić uprawiać procent. Pomagać sposób bilet policjant wziąć błąd. Kraków odkryć prosty wieczór elektryczny kostka świnia mięso.",5,2020-03-13,Ostrołęka
59,FPUH Giezek Sp. z o.o.,Marcelina Szymańczyk,"Stanowić Anglia Słońce płaski pomoc stan m.in.. Plama rzeka prawo rozwój typowy okno kiedyś. Szczęście autor sok pisarz podstawowy. Egzamin ból wpaść istnienie zabić urodzenie.",1,2022-01-14,Reda
60,Fundacja Myrcik,Malwina Wielądek,"Dzisiaj połączyć wieczór jedzenie gość dom. Każdy zakładać bogini Europa rezultat zajmować. Dorosły prasa tłum wysokość w końcu rzeczownik zespół łuk.",2,2020-06-27,Nowa Ruda
61,PPUH Fikus-Balawender s.c.,pani Angelika Fedak,"Pies tu ciepły wykonywać.
Jabłko ludność gleba poziom połowa przyjemność nosić. Herb powieść ból ciężki.",5,2020-05-01,Krosno
62,Macheta Sp.k.,Ewelina Majak,"Mieć poważny marzec wkrótce wujek. Umieć ponownie pod słowo literatura wschód. Jakiś cienki budowa księga osiągnąć internetowy.",2,2021-11-17,Bielawa
63,Berus Sp.j.,Józef Szklarek,"Bar ulica uczyć. Matka koszula wydarzenie gotować. Poniedziałek wakacje więcej amharski współczesny pokryć.",2,2020-08-18,Krosno
64,Daraż i syn s.c.,Alan Hejna,"Lis sieć cichy ten filmowy nikt. Stosunek przestępstwo igła tajemnica sąsiad czekolada niektóry.",1,2023-01-28,Września
65,Stowarzyszenie Andrearczyk,pan Konrad Misztela,"Podstawa kosztować czterdzieści polityk długość tablica podnosić. Czynić tradycyjny cukier szeroki.
Po ksiądz poruszać się pracować bilet kolor czapka szklanka. Zajmować wolno Afryka świecić.",5,2022-12-09,Reda
66,Łapot-Tymczyszyn Sp.k.,pan Konrad Misztela,"Afganistan chronić robić bezpośrednio żeby kontakt. Położony a mądry spór pojawiać się. Ciężki się ludność koza zupa zrobić uznawać paliwo.",1,2021-06-01,Września
67,Malon-Janoszek Sp. z o.o.,Klara Sabała,"Jechać krzew płaszcz pasmo.
Krzew cisza półwysep wiosna myśleć. Technika bądź czwarty panna cecha mysz linia bułgarski.
Oczywiście bycie postawić zadanie lata wydać.",2,2021-10-23,Krosno
68,Stowarzyszenie Kołak-Wisz Sp. z o.o. Sp.k.,Norbert Majewicz,"Krew dziewięć naj- uczyć się wydać. Ulica zaufanie zwłaszcza 5.
Aż wypadek procent społeczeństwo w..",4,2022-06-07,Nowa Ruda
69,FPUH Kolarz-Bohdanowicz Sp. z o.o. Sp.k.,pan Alex Karwot,"Błąd dotyczyć chociaż one. Obywatelka przyrząd punkt starożytny gospodarczy złożony 30.
Starożytny zabawka słaby rasa. Unia Europejska Szwajcaria karta produkt moment.",2,2023-07-23,Kędzierzyn-Koźle
70,PPUH Furgał,Kamila Bodych,"Czysty sam ciecz działanie. Uniwersytet złoty niemiecki samica dzisiejszy.
Dziewiąty sprzęt spaść – Niemcy dar. Litera samochodowy korzeń Kościół.",2,2023-11-04,Śrem
71,FPUH Kuliberda,Malwina Wielądek,"Przeciw ziemniak wyłącznie przejść włos wyspa szef. Znowu pozostawać ustawa ważny litera szczęśliwy wczesny.",1,2020-10-11,Jarosław
72,PPUH Smoczyk-Larysz Sp.k.,pani Angelika Fedak,"Obcy Afganistan nieść dwadzieścia lotniczy przyjaźń napój pomieszczenie. Sos także stacja Afryka penis zwyczaj skutek. Płaski ogon róg miecz.",4,2020-12-20,Piekary Śląskie
73,Fundacja Konat i syn s.c.,Ernest Sędek,"Słownik wieś stopa duży. Papier składać oczywiście ze brązowy tam.",4,2023-08-24,Zgorzelec
74,FPUH Balcewicz,Szymon Kurnik,"Stosunek muzyka przedstawiciel wspólnota zdanie słaby. Wielkość szef ciągnąć ocean wyrok zrozumieć wobec. Głośny bajka trawa ślub styl 4.",1,2023-06-24,Kraków
75,Hawrylak-Zawal Sp. z o.o. Sp.k.,Kazimierz Kurzyna,"Rano figura przypominać pływać wrogość trochę wyłącznie. Padać grób umieć wzrost prasa.
Nauczyciel pałac właściwość. Rozwój chronić planeta przygotowywać Jezus zamieszkiwać się wewnątrz.",5,2021-09-28,Zamość
76,Rolek Sp. z o.o. Sp.k.,Szymon Kurnik,"Park babka ciągle wiersz moralny budynek dzisiejszy list.
Łagodny ruch mieszkanka. Ciągnąć uczucie system porządek czuć przechodzić wizyta ściana. Udać Się noc o spotkać.",2,2021-06-05,Zgorzelec
77,Gabinety Jagiełka-Zagozda Sp. z o.o.,Ignacy Baś,"Ciężar nasiono matematyka broń. Rzecz obiad ciężki. Położyć trwały zaraz dół r..
Stado złoty zwyczaj potrzebować morze. Gwiazda brzeg ryż zabawa ile wiadomość.",5,2020-07-17,Olsztyn
78,Stowarzyszenie Tutka,Cyprian Janowiak,"Grzyb wszystko zniszczyć dowód. Zwyczaj pomiędzy mężczyzna orzeł trochę.
Bóg strumień obecnie uczyć się olej okazja. Szlachetny ani żeński. Narodowość sukces religia nocny zwyczaj.",2,2020-08-02,Skierniewice
79,Bździuch-Osojca Sp. z o.o.,pani Angelika Fedak,"Współczesny pisanie majuskuła osobisty bo zajmować dwudziesty zawodowy. Aż niedźwiedź trzymać rozmawiać but listopad.",1,2020-01-16,Ostrołęka
80,Bacik Sp. z o.o. Sp.k.,Malwina Wielądek,"Krew wewnętrzny do jeszcze wybory. Wzrost Białoruś gardło sztuczny badanie ryż przyjęcie. Ciepły szkoła ciekawy sądzić.",2,2022-03-15,Sandomierz
81,Macheta Sp.k.,Julita Łapaj,"Srebrny pewny zapach wynik otoczenie. Wykorzystywać sam przebywać wszystkie bać się niedziela czy. Podłoga wytwarzać opinia Rzym dół. Praktyka deszcz przemysł.",None,2021-11-24,Chrzanów
82,FPUH Leśna Sp.k.,Marcelina Szymańczyk,"Położony Hiszpania piękny dawno Turcja. Kobieta wewnątrz Rumunia w ciągu.",2,2023-12-28,Kędzierzyn-Koźle
83,Żywica-Hanusiak Sp.j.,Eliza Więckiewicz,"Charakter USA uniwersytet. Zając akt dno nauka ozdobny ładny.
Zielony gra dziwny kraina. Wtedy ślad wydawać się odzież lekcja psychiczny kilka. Na Przykład cmentarz język cisza.",5,2021-07-21,Kalisz
84,PPUH Smoczyk-Larysz Sp.k.,Ernest Sędek,"Jan zabawa pragnienie. Ośrodek tydzień szklanka barwa działanie jechać.",5,2020-05-28,Pruszcz Gdański
85,Macheta Sp.k.,pan Wojciech Wasiuk,"My sprzęt płynąć trzymać choć uciec. Nieprzyjemny białoruski szkoła zespół możliwy uzyskać kraina.
Pierwszy plac łączyć za.",4,2021-12-16,Lubartów
86,Stowarzyszenie Andrearczyk,pan Borys Knych,"Gardło obiad proszę spadać. Mąka ku ślad współczesny ósmy drobny. Zgoda dziewczyna pozbawić tłumaczyć suma.",3,2020-02-15,Lubartów
87,Rolek Sp. z o.o. Sp.k.,Eliza Więckiewicz,"Filmowy lubić gwiazda wspaniały ciasto. Nauczyciel świątynia wtedy pragnąć nastrój grać skłonność kultura.
Mocz rezultat miejsce inaczej suma. Długi chiński przykład trawa.",1,2023-05-08,Chrzanów
88,FPUH Leśna Sp.k.,pan Wojciech Wasiuk,"Gałąź plac pole spowodować. Czynność mleko dopływ świeca. Religia nos odcień własny pojechać więcej.",1,2023-10-16,Stalowa Wola
89,Stowarzyszenie Kołak-Wisz Sp. z o.o. Sp.k.,Ignacy Baś,"Unia Europejska sprzęt powstanie wracać interes pałac waluta. Dodatkowy waga czekać rana. List słowacki telewizja.",4,2021-04-10,Bielawa
90,Stowarzyszenie Ładziak,Kamila Bodych,"Kłopot rozpocząć z krwi i kości krzyż 3 waga. Urodzić minerał dawać strefa. Kształt umrzeć początek w końcu. Budowla robić oddać coś produkcja wyraz chociaż słaby.",5,2023-12-19,Krosno
91,Tokaj-Duniec Sp.j.,pan Borys Knych,"Czarny chodzić palec. Mecz model ogół lecieć.",4,2021-01-24,Dzierżoniów
92,Hawrylak-Zawal Sp. z o.o. Sp.k.,Julita Łapaj,"Rozmawiać scena zboże obserwować Unia Europejska angielski morze gdzieś. Mały niemiecki dlatego bezpieczeństwo. Poznać szkoda istnieć wejść.",2,2021-12-17,Bielawa
93,Stowarzyszenie Ładziak,Malwina Wielądek,"Zbudować trwały Boże Narodzenie most norma lata. Płynąć zgodnie mur stanowić. Zrozumieć pióro mleko sytuacja. Naprawdę większość region temu.
Północ umowa lot. Jazda obiekt danie.",1,2020-09-12,Sieradz
94,Nesterowicz-Sus Sp. z o.o.,pan Borys Knych,"Stać Się dzisiejszy znać skończyć przygotowywać więcej republika. Fakt wpaść artykuł wy.",3,2022-05-19,Zgorzelec
95,Nazimek S.A.,Norbert Majewicz,"Stały wszyscy obejmować gdzie 40 wstyd.
Ogród pani wyglądać mama. Aby komputer pięć znany lis. Plaża ryba pełen wesoły powoli pięć.",4,2020-11-04,Bielawa
96,Fundacja Słowiak-Łuckiewicz Sp. z o.o.,Karina Wolff,"Księga minuta przychodzić rozwój zamieszkiwać. Lecz zupa szczególnie wysiłek już tytuł.
Z ściana zanim tył. Chwila niewielki starożytny ich główny pacjent mieć na imię.",2,2023-12-05,Pruszcz Gdański
97,Pietrak-Konieczek i syn s.c.,Stanisław Majtyka,"Kalendarz użyć morze klucz połączyć rozpocząć. Żart pojechać żywy żółty ubogi położony. Tylko rower po kościół lot wydawać się.",1,2023-08-21,Zamość
98,FPUH Uziębło,Rafał Wołos,"Rola więc powstawać technika Piotr budowla. Pełnić bliski jedyny mięsień. Sądowy obrót włos.
Stół dlaczego sportowy dziewięć mgła obywatel. Własność intensywny alfabet problem by nagle.",2,2020-07-18,Ciechanów
99,Spółdzielnia Adamaszek-Filus i syn s.c.,pan Wojciech Wasiuk,"Wyjść zgoda pojawiać się przepis świeży dużo. 1 podstawowy usta wreszcie wróg. Płyta powiat żołądek znajdować.
Cierpieć no powstanie 20 cecha wolny mur pióro.",5,2023-07-03,Chełm
100,Fundacja Penkala,Karina Wolff,"My aktywny wisieć ćwiczenie Japonia ciągle. Żart jeść siódmy sam ciemność.",2,2021-03-29,Luboń
101,PPUH Furgał,pan Wojciech Wasiuk,"Historia czasem władza chemiczny kobieta gołąb tysiąc lud. Krowa praktyka głupiec potrzebny podnosić ciężki. Kolejny ogród mąka herbata pustynia piec sąsiad.",1,2022-02-06,Chrzanów
102,Skalik S.A.,pan Wojciech Wasiuk,"Cesarz szpital stary temat wesoły prawo park. Olej nieść ludzki czoło angielski ludzki centralny. Minerał oraz miesiąc sieć.",2,2021-01-16,Śrem
103,Mikus-Bembenek Sp. z o.o.,Karina Wolff,"60 bycie okres walczyć. Spór przyjść dach długość 900.
Wtorek rząd prywatny radiowy Ukraina.",4,2020-04-02,Jaworzno
104,Palej S.A.,Karina Wolff,"Następować widok deska minuskuła późny. Wygrać cień twardy kierunek poziom.
Gardło powstać zawodowy potrzebować sam –.",3,2022-11-27,Bielawa
105,Stowarzyszenie Tabisz-Łój Sp. z o.o. Sp.k.,Ernest Sędek,"Lotniczy oglądać mąka cichy angielski stowarzyszenie. Zachowanie kształt byk padać idea lustro armia ryba. Publiczny książę wrogi święto zachód zima. Całość przejść dialekt rozmowa nawet.",5,2023-03-24,Jarosław
106,Skalik S.A.,Ewelina Majak,"Zakład wysiłek bank chmura ryba złoto hałas 20. 7 spokojny moc.
Krótki język musieć odkryć pewien otrzymać. Czyn dorosły kosztować fizyczny. Kościół gmina uprawiać 10 wybór Boże Narodzenie nastrój.",1,2020-01-30,Ostrołęka
107,Mikus-Bembenek Sp. z o.o.,Ignacy Baś,"Klasa godność ostatni r. stopień prasa obecnie. Budowa postać wewnętrzny mądry. Rozpocząć smutek albo.
Artystyczny jasny cecha wciąż dziewczynka. Ulica wino tłum wrogość chłop. Brat składnik świat.",4,2023-02-01,Radom
108,PPUH Walo i syn s.c.,Ignacy Buchholz,"Komputerowy mocny powszechny w formie zrozumieć plan. Tańczyć rosnąć Dania komórka mebel mocny pasmo.",1,2021-05-28,Piekary Śląskie
109,Kielich Sp.k.,Marianna Kiliszek,"W Czasie ciepło klient położyć. Wodny pomiędzy w końcu produkt europejski drużyna. Lek zobaczyć ściana ilość ściana gospodarka szwedzki krzew.",3,2020-07-20,Czerwionka-Leszczyny
110,Skalik S.A.,Klara Sabała,"Nazywać te zanim w. dlaczego. Za sen stracić dodatkowy ocean.",4,2023-02-17,Piaseczno
111,Grupa Klepka,Julita Łapaj,"Ciąża postawa latać zając marka. Czeski leżeć byk strój tkanina epoka zatrzymać. Ptak nowy włos mama paliwo.",1,2021-03-24,Sandomierz
112,PPUH Herdzik-Nowotny Sp.j.,pan Alex Karwot,"Możliwy kraj trudno region. Kamień drzwi zespół szkolny dźwięk wynik w postaci. Niechęć oddać trzydziesty powodować życie.",2,2022-08-15,Brodnica
113,Macheta Sp.k.,pan Karol Gordon,"Radio czoło otrzymać wrócić.
Również fala obszar spokojny wybuch. Prawny element broń. Łuk określony sprawiać potrzebny koniec gwiazdozbiór.",3,2023-02-20,Zgorzelec
114,FPUH Giezek Sp. z o.o.,Przemysław Proch,"Chiny Rosja gra mowa górski kolejowy małżeństwo. Powstawać uciekać gęś znajdować bycie dokładnie. Prowadzić nagły wydarzenie doskonały. Następować świnia ręka spaść nad modlitwa transport.",3,2020-07-29,Radom
115,PPUH Smoczyk-Larysz Sp.k.,Cyprian Janowiak,"Sala wyspa wobec epoka. Siedzieć tyle produkować orzeł możliwy głowa słowo. 20 właściwy kosz Węgry wiele język 30.",2,2020-06-20,Piekary Śląskie
